,one,two
0,C20,C.3
1,C22,C.3
2,C23,C.1
3,C24,C.1
4,C25,C.3
5,C27,C.3
6,C26,C.3
7,O3,O.3
8,F11,F
9,F19,F
10,F21,F
11,F28,F
12,F29,F
13,F30,F
14,O2,O.3
15,C1,C.3
16,C2,C.3
17,C3,C.3
18,C4,C.3
19,C5,C.2
20,C6,C.2
21,C7,C.2
22,C8,C.2
23,C10,C.3
24,C12,C.3
25,C13,C.3
26,C14,C.3
27,C15,C.3
28,C16,C.3
29,C17,C.3
30,C18,C.3
31,O1,O.3
32,C9,C.3
33,H1,H
34,H2,H
35,H3,H
36,H4,H
37,H5,H
38,H6,H
39,H7,H
40,H8,H
41,H9,H
42,H10,H
43,H11,H
44,H12,H
45,H13,H
46,H14,H
47,H15,H
48,H16,H
49,H17,H
50,H18,H
51,H19,H
52,H20,H
53,H21,H
54,H22,H
55,H23,H
56,H24,H
57,H25,H
58,H26,H
59,H27,H
60,H28,H
61,H29,H
62,H30,H
63,H31,H
64,H32,H
