,0,1
404,2,YPA
405,2,SFG
406,2,DHT
407,2,NAR
408,2,ADE
409,2,S44
410,2,T2B
411,2,ADP
412,2,APR
413,2,CI2
414,2,SAH
415,2,VDX
416,2,IMD
417,2,VDA
418,2,TX3
419,2,A92
420,2,LGD
421,2,SAL
422,2,L3L
423,2,GKK
424,2,T3
425,2,FNT
426,2,DEQ
427,2,ERY
428,2,CID
429,2,ATP
430,2,2PQ
431,20,E3O
432,20,73B
433,20,ET
434,20,TY4
435,20,AAI
436,20,C5D
437,20,ANP
438,20,DXT
439,20,AGS
440,20,TDC
441,20,GNI
442,20,G2P
443,20,VDB
444,20,ITC
445,20,REA
446,20,GDP
447,20,BRL
448,20,2BA
449,20,3AT
450,20,P83
451,20,FMN
452,20,DTP
453,20,O40
454,20,TCH
455,20,TX1
456,20,DDS
457,20,TMP
458,20,NAP
459,20,SDN
460,20,LAE
461,20,TTP
462,20,YPA
463,20,G50
464,20,QUE
465,20,DGT
466,20,NAR
467,20,S44
468,20,T2B
469,20,ADP
470,20,APR
471,20,TAC
472,20,CI2
473,20,TX3
474,20,A92
475,20,T3
476,20,FNT
477,20,965
478,20,ERY
479,20,CID
480,20,ATP
481,20,NAD
482,20,2PQ
483,21,FAD
484,21,3EV
485,21,AAI
486,21,RF1
487,21,C5D
488,21,HC2
489,21,ANP
490,21,DXT
491,21,TDC
492,21,ITC
493,21,3SF
494,21,VDB
495,21,REA
496,21,DAY
497,21,BRL
498,21,9RA
499,21,FMN
500,21,O40
501,21,TCH
502,21,MEI
503,21,DDS
504,21,NAP
505,21,LAE
506,21,TTP
507,21,YPA
508,21,DGT
509,21,DHT
510,21,CEK
511,21,S44
512,21,TAC
513,21,T2B
514,21,ADP
515,21,VDX
516,21,LGD
517,21,GKK
518,21,T3
519,21,965
520,21,DEQ
521,21,ERY
522,21,AGS
523,21,2PQ
524,22,E3O
525,22,3GN
526,22,HL6
527,22,CMP
528,22,FAD
529,22,ZTW
530,22,3EV
531,22,TY4
532,22,RF1
533,22,CTI
534,22,C5D
535,22,AAI
536,22,HC2
537,22,DXT
538,22,TDC
539,22,2PQ
540,22,GNI
541,22,ITC
542,22,VDB
543,22,3SF
544,22,REA
545,22,DAY
546,22,BRL
547,22,P83
548,22,GW5
549,22,9RA
550,22,FMN
551,22,MUF
552,22,O40
553,22,TCH
554,22,CHD
555,22,OHT
556,22,TX1
557,22,OEF
558,22,NAP
559,22,LAE
560,22,EST
561,22,O8G
562,22,YPA
563,22,GJW
564,22,QUE
565,22,DHT
566,22,NAR
567,22,CEK
568,22,S44
569,22,ADP
570,22,TAC
571,22,CI2
572,22,VDX
573,22,SAH
574,22,RF2
575,22,VDA
576,22,TX3
577,22,PTI
578,22,GKK
579,22,SAL
580,22,L3L
581,22,A92
582,22,LGD
583,22,965
584,22,ERY
585,22,CID
586,22,ATP
587,22,4HY
588,22,NAD
589,22,RAL
590,23,E3O
591,23,HL6
592,23,CMP
593,23,FAD
594,23,ZTW
595,23,TY4
596,23,HC2
597,23,ANP
598,23,GNI
599,23,N6R
600,23,GDP
601,23,DAY
602,23,C2E
603,23,GW5
604,23,NAD
605,23,FMN
606,23,MUF
607,23,O40
608,23,TX1
609,23,DDS
610,23,OEF
611,23,OHT
612,23,SDN
613,23,LAE
614,23,TTP
615,23,ALA
616,23,EST
617,23,QUE
618,23,DGT
619,23,DHT
620,23,NAR
621,23,S44
622,23,ADP
623,23,T2B
624,23,TAC
625,23,TX3
626,23,PTI
627,23,LGD
628,23,GKK
629,23,T3
630,23,SAL
631,23,965
632,23,DEQ
633,23,ATP
634,23,4HY
635,23,AGS
636,23,RAL
637,24,HL6
638,24,FAD
639,24,3EV
640,24,TY4
641,24,G2P
642,24,VDB
643,24,GDP
644,24,C2E
645,24,2BA
646,24,3AT
647,24,P83
648,24,TX1
649,24,HPA
650,24,LAE
651,24,MHF
652,24,ADP
653,24,CI2
654,24,VDA
655,24,TX3
656,24,CID
657,24,ATP
658,25,73B
659,25,HL6
660,25,FAD
661,25,CTI
662,25,TY4
663,25,AGS
664,25,REA
665,25,GDP
666,25,GW5
667,25,9RA
668,25,O40
669,25,MEI
670,25,LAE
671,25,SFG
672,25,T2B
673,25,APR
674,25,ADP
675,25,LGD
676,25,T3
