,one,two
0,C1,C.ar
1,C2,C.ar
2,C3,C.ar
3,C4,C.ar
4,C5,C.ar
5,C6,C.ar
6,C11,C.ar
7,C12,C.ar
8,N13,N.pl3
9,C14,C.ar
10,C15,C.ar
11,C16,C.ar
12,C17,C.ar
13,C22,C.3
14,C23,C.3
15,O26,O.3
16,C29,C.ar
17,C30,C.ar
18,C31,C.ar
19,C32,C.ar
20,C33,C.ar
21,C34,C.ar
22,C39,C.3
23,C40,C.3
24,C43,C.2
25,O44,O.co2
26,O45,O.co2
27,O47,O.3
28,C49,C.3
29,C50,C.3
30,H1,H
31,H2,H
32,H3,H
33,H4,H
34,H5,H
35,H6,H
36,H7,H
37,H8,H
38,H9,H
39,H10,H
40,H11,H
41,H12,H
42,H13,H
43,H14,H
44,H15,H
45,H16,H
46,H17,H
47,H18,H
48,H19,H
49,H20,H
50,H21,H
51,H22,H
52,H23,H
53,H24,H
