,one,two
0,C1,C.3
1,C2,C.3
2,C3,C.3
3,C4,C.3
4,N1,N.pl3
5,C5,C.ar
6,C6,C.ar
7,C7,C.ar
8,C8,C.ar
9,CL1,Cl
10,C9,C.ar
11,C10,C.ar
12,C11,C.ar
13,C12,C.ar
14,C13,C.ar
15,C14,C.ar
16,C15,C.ar
17,C16,C.ar
18,N2,N.am
19,C17,C.2
20,C18,C.3
21,O1,O.2
22,C19,C.ar
23,C20,C.ar
24,C21,C.ar
25,C22,C.ar
26,C23,C.ar
27,C24,C.ar
28,C25,C.2
29,O2,O.co2
30,O3,O.co2
31,H1,H
32,H2,H
33,H3,H
34,H4,H
35,H5,H
36,H6,H
37,H7,H
38,H8,H
39,H9,H
40,H10,H
41,H11,H
42,H12,H
43,H13,H
44,H14,H
45,H15,H
46,H16,H
47,H17,H
48,H18,H
49,H19,H
50,H20,H
51,H21,H
52,H22,H
