,one,two
0,O37,O.co2
1,C35,C.2
2,O36,O.co2
3,C34,C.3
4,C32,C.ar
5,C31,C.ar
6,C30,C.ar
7,C29,C.ar
8,C28,C.ar
9,O27,O.3
10,C26,C.3
11,C25,C.3
12,C17,C.3
13,N09,N.4
14,C16,C.3
15,C18,C.ar
16,C23,C.ar
17,C22,C.ar
18,C21,C.ar
19,C20,C.ar
20,C19,C.ar
21,CL4,Cl
22,C39,C.3
23,F41,F
24,F40,F
25,F42,F
26,C08,C.3
27,C07,C.3
28,C01,C.ar
29,C02,C.ar
30,C03,C.ar
31,C04,C.ar
32,C05,C.ar
33,C06,C.ar
34,C10,C.ar
35,C15,C.ar
36,C14,C.ar
37,C13,C.ar
38,C12,C.ar
39,C11,C.ar
40,C33,C.ar
41,H1,H
42,H2,H
43,H3,H
44,H4,H
45,H5,H
46,H6,H
47,H7,H
48,H8,H
49,H9,H
50,H10,H
51,H11,H
52,H12,H
53,H13,H
54,H14,H
55,H15,H
56,H16,H
57,H17,H
58,H18,H
59,H19,H
60,H20,H
61,H21,H
62,H22,H
63,H23,H
64,H24,H
65,H25,H
66,H26,H
67,H27,H
68,H28,H
69,H29,H
70,H30,H
71,H31,H
