,one,two
0,N1,N.2
1,C2,C.2
2,NA2,N.pl3
3,N3,N.pl3
4,C4,C.2
5,O4,O.2
6,C4A,C.2
7,N5,N.pl3
8,C6,C.3
9,C7,C.3
10,N8,N.pl3
11,C8A,C.2
12,C9,C.3
13,N10,N.pl3
14,C11,C.3
15,C12,C.ar
16,C13,C.ar
17,C14,C.ar
18,C15,C.ar
19,C16,C.ar
20,C17,C.ar
21,C,C.2
22,O,O.2
23,N,N.am
24,CA,C.3
25,CB,C.3
26,CG,C.3
27,CD,C.2
28,OE1,O.co2
29,OE2,O.co2
30,CT,C.2
31,O1,O.co2
32,O2,O.co2
33,HA21,H
34,HA22,H
35,H3,H
36,H4,H
37,H5,H
38,H6,H
39,H7,H
40,H8,H
41,H9,H
42,H10,H
43,H11,H
44,H12,H
45,H13,H
46,H14,H
47,H15,H
48,HA,H
49,HB1,H
50,HB2,H
51,HG1,H
52,HG2,H
53,H21,H
