,one,two
0,N1,N.ar
1,C2,C.ar
2,N3,N.ar
3,C4,C.ar
4,C5,C.ar
5,C6,C.ar
6,N6,N.pl3
7,N7,N.2
8,C8,C.2
9,N9,N.pl3
10,C1',C.3
11,C2',C.3
12,O2',O.3
13,C3',C.3
14,O3',O.3
15,O4',O.3
16,C4',C.3
17,C5',C.3
18,O5',O.3
19,PA,P.3
20,O1A,O.co2
21,O2A,O.co2
22,O3A,O.3
23,PB,P.3
24,O1B,O.co2
25,O2B,O.co2
26,O5D,O.3
27,C5D,C.3
28,O4D,O.3
29,O1D,O.3
30,C1D,C.3
31,O2D,O.3
32,C2D,C.3
33,O3D,O.3
34,C3D,C.3
35,C4D,C.3
36,H1,H
37,H2,H
38,H3,H
39,H4,H
40,H1',H
41,H2',H
42,H7,H
43,H3',H
44,H9,H
45,H4',H
46,H5'1,H
47,H5'2,H
48,H5D1,H
49,H5D2,H
50,H1D,H
51,H16,H
52,H2D,H
53,H18,H
54,H3D,H
55,H20,H
56,H4D,H
