,one,two
0,C1,C.3
1,C2,C.2
2,O3,O.2
3,C4,C.2
4,C5,C.2
5,C6,C.3
6,C7,C.2
7,C8,C.2
8,C9,C.2
9,O10,O.3
10,C11,C.ar
11,C12,C.ar
12,C13,C.ar
13,C14,C.ar
14,C15,C.ar
15,C16,C.ar
16,C17,C.3
17,O18,O.2
18,O19,O.3
19,O20,O.3
20,O21,O.3
21,C22,C.3
22,C23,C.2
23,O24,O.2
24,N25,N.am
25,C26,C.3
26,C27,C.ar
27,C28,C.ar
28,C29,C.ar
29,C30,C.ar
30,C31,C.ar
31,C32,C.ar
32,C33,C.ar
33,C34,C.ar
34,C35,C.ar
35,C36,C.ar
36,H1,H
37,H2,H
38,H3,H
39,H4,H
40,H5,H
41,H6,H
42,H7,H
43,H8,H
44,H9,H
45,H10,H
46,H11,H
47,H12,H
48,H13,H
49,H14,H
50,H15,H
51,H16,H
52,H17,H
53,H18,H
54,H19,H
55,H20,H
56,H21,H
57,H22,H
58,H23,H
