,one,two
0,C1,C.3
1,C2,C.2
2,O3,O.2
3,C4,C.3
4,C5,C.3
5,C6,C.3
6,C7,C.3
7,C8,C.3
8,C9,C.3
9,C10,C.3
10,C11,C.3
11,C12,C.3
12,C13,C.2
13,O14,O.2
14,C15,C.3
15,C16,C.3
16,C17,C.3
17,C18,C.3
18,C19,C.3
19,C20,C.3
20,C21,C.3
21,C22,C.3
22,C23,C.3
23,H1,H
24,H2,H
25,H3,H
26,H4,H
27,H5,H
28,H6,H
29,H7,H
30,H8,H
31,H9,H
32,H10,H
33,H11,H
34,H12,H
35,H13,H
36,H14,H
37,H15,H
38,H16,H
39,H17,H
40,H18,H
41,H19,H
42,H20,H
43,H21,H
44,H22,H
45,H23,H
46,H24,H
47,H25,H
48,H26,H
49,H27,H
50,H28,H
51,H29,H
52,H30,H
53,H31,H
54,H32,H
