,one,two
0,N1,N.2
1,C2,C.2
2,O2,O.2
3,N3,N.pl3
4,C4,C.2
5,O4,O.2
6,C4A,C.2
7,N5,N.2
8,C5A,C.ar
9,C6,C.ar
10,C7,C.ar
11,C7M,C.3
12,C8,C.ar
13,C8M,C.3
14,C9,C.ar
15,C9A,C.ar
16,N10,N.pl3
17,C10,C.2
18,C1',C.3
19,C2',C.3
20,O2',O.3
21,C3',C.3
22,O3',O.3
23,C4',C.3
24,O4',O.3
25,C5',C.3
26,O5',O.3
27,P,P.3
28,O1P,O.co2
29,O2P,O.co2
30,O3P,O.co2
31,H1,H
32,H2,H
33,H7M1,H
34,H7M2,H
35,H7M3,H
36,H8M1,H
37,H8M2,H
38,H8M3,H
39,H9,H
40,H1'1,H
41,H1'2,H
42,H2',H
43,H13,H
44,H3',H
45,H15,H
46,H4',H
47,H17,H
48,H5'1,H
49,H5'2,H
