,one,two
0,C1,C.2
1,O1,O.3
2,C2,C.2
3,C21,C.2
4,O21,O.2
5,N21,N.am
6,C3,C.2
7,O3,O.2
8,C4,C.3
9,N4,N.4
10,C42,C.3
11,C43,C.3
12,C41,C.3
13,C5,C.3
14,C51,C.3
15,C6,C.3
16,C62,C.3
17,O6,O.3
18,C61,C.ar
19,C7,C.ar
20,C8,C.ar
21,C9,C.ar
22,C10,C.ar
23,O10,O.3
24,C1A,C.ar
25,C11,C.2
26,O11,O.2
27,C1B,C.2
28,C12,C.2
29,O12,O.3
30,C1C,C.3
31,O1C,O.3
32,H1,H
33,H2,H
34,H3,H
35,H4,H
36,H5,H
37,H6,H
38,H7,H
39,H8,H
40,H9,H
41,H10,H
42,H11,H
43,H12,H
44,H13,H
45,H14,H
46,H15,H
47,H16,H
48,H17,H
49,H18,H
50,H19,H
51,H20,H
52,H21,H
53,H22,H
54,H23,H
55,H1C,H
56,H25,H
