,one,two
0,O11,O.2
1,C10,C.2
2,N20,N.2
3,C21,C.2
4,C28,C.ar
5,C27,C.ar
6,C26,C.ar
7,C25,C.ar
8,C24,C.ar
9,C23,C.ar
10,C13,C.2
11,C14,C.ar
12,C19,C.ar
13,C18,C.ar
14,C17,C.ar
15,C16,C.ar
16,C15,C.ar
17,N9,N.am
18,C8,C.3
19,C7,C.3
20,C5,C.ar
21,C4,C.ar
22,C3,C.ar
23,C30,C.ar
24,C31,C.ar
25,O,O.co2
26,C,C.2
27,O3,O.co2
28,C2,C.3
29,C9,C.ar
30,O13,O.2
31,C12,C.2
32,O21,O.3
33,CL26,Cl
34,CL29,Cl
35,H1,H
36,H2,H
37,H3,H
38,H4,H
39,H5,H
40,H6,H
41,H7,H
42,H8,H
43,H9,H
44,H10,H
45,H11,H
46,H12,H
47,H13,H
48,H14,H
49,H15,H
50,H16,H
51,H17,H
52,H18,H
53,H19,H
