,one,two
0,PA,P.3
1,O1A,O.co2
2,O2A,O.co2
3,O5B,O.3
4,C5B,C.3
5,C4B,C.3
6,O4B,O.3
7,C3B,C.3
8,O3B,O.3
9,C2B,C.3
10,O2B,O.3
11,C1B,C.3
12,N9A,N.pl3
13,C8A,C.2
14,N7A,N.2
15,C5A,C.ar
16,C6A,C.ar
17,N6A,N.pl3
18,N1A,N.ar
19,C2A,C.ar
20,N3A,N.ar
21,C4A,C.ar
22,N1,N.2
23,C2,C.2
24,O2,O.2
25,N3,N.pl3
26,C4,C.2
27,O4,O.2
28,C4X,C.2
29,N5,N.2
30,C5X,C.ar
31,C6,C.ar
32,C7,C.ar
33,C7M,C.3
34,C8,C.ar
35,C8M,C.3
36,C9,C.ar
37,C9A,C.ar
38,N10,N.pl3
39,C10,C.2
40,C1',C.3
41,C2',C.3
42,O2',O.3
43,C3',C.3
44,O3',O.3
45,C4',C.3
46,O4',O.3
47,C5',C.3
48,O5',O.3
49,P,P.3
50,O1P,O.co2
51,O2P,O.co2
52,O3P,O.3
53,H5B1,H
54,H5B2,H
55,H4B,H
56,H3B,H
57,H5,H
58,H2B,H
59,H7,H
60,H1B,H
61,H8A,H
62,H6A1,H
63,H6A2,H
64,H2A,H
65,H13,H
66,H14,H
67,H7M1,H
68,H7M2,H
69,H7M3,H
70,H8M1,H
71,H8M2,H
72,H8M3,H
73,H21,H
74,H1'1,H
75,H1'2,H
76,H2',H
77,H25,H
78,H3',H
79,H27,H
80,H4',H
81,H29,H
82,H5'1,H
83,H5'2,H
