,one,two
0,C1,C.ar
1,C2,C.ar
2,C3,C.ar
3,C4,C.ar
4,C5,C.ar
5,C6,C.ar
6,C7,C.ar
7,C8,C.ar
8,C9,C.ar
9,N1,N.ar
10,C10,C.ar
11,C11,C.ar
12,N2,N.ar
13,C12,C.ar
14,C13,C.ar
15,C14,C.ar
16,C15,C.ar
17,C16,C.ar
18,C17,C.ar
19,C18,C.ar
20,C19,C.3
21,C20,C.3
22,C21,C.3
23,C22,C.3
24,C23,C.3
25,C24,C.3
26,C25,C.3
27,C26,C.3
28,C27,C.3
29,C28,C.3
30,C30,C.3
31,C29,C.3
32,N4,N.pl3
33,N3,N.pl3
34,H1,H
35,H2,H
36,H3,H
37,H4,H
38,H5,H
39,H6,H
40,H7,H
41,H8,H
42,H9,H
43,H10,H
44,H11,H
45,H12,H
46,H13,H
47,H14,H
48,H15,H
49,H16,H
50,H17,H
51,H18,H
52,H19,H
53,H20,H
54,H21,H
55,H22,H
56,H23,H
57,H24,H
58,H25,H
59,H26,H
60,H27,H
61,H28,H
62,H29,H
63,H30,H
64,H31,H
65,H32,H
66,H33,H
67,H34,H
68,H35,H
69,H36,H
70,H37,H
71,H38,H
72,H39,H
73,H40,H
