,one,two
0,C1,C.2
1,O1,O.2
2,C2,C.2
3,O21,O.2
4,C21,C.2
5,N21,N.am
6,C3,C.2
7,O3,O.3
8,N4,N.4
9,C41,C.3
10,C42,C.3
11,C5,C.3
12,O5,O.3
13,C5A,C.3
14,C6,C.3
15,C61,C.3
16,C6A,C.ar
17,C7,C.ar
18,C8,C.ar
19,C9,C.ar
20,C10,C.ar
21,O10,O.3
22,C6B,C.ar
23,O11,O.3
24,C5B,C.2
25,C12,C.2
26,O12,O.2
27,C4B,C.3
28,O13,O.3
29,C4,C.3
30,C4A,C.3
31,C11,C.2
32,H1,H
33,H2,H
34,H3,H
35,H4,H
36,H5,H
37,H6,H
38,H7,H
39,H8,H
40,H9,H
41,H10,H
42,H11,H
43,H5A,H
44,H13,H
45,H14,H
46,H15,H
47,H16,H
48,H17,H
49,H18,H
50,H19,H
51,H20,H
52,H21,H
53,H22,H
54,H23,H
55,H4A,H
56,H25,H
