,one,two
0,O53,O.co2
1,C51,C.2
2,O52,O.co2
3,C11,C.ar
4,C10,C.ar
5,C12,C.ar
6,C13,C.ar
7,C14,C.ar
8,C9,C.ar
9,C47,C.2
10,C48,C.2
11,C4,C.ar
12,C3,C.ar
13,C43,C.3
14,C2,C.ar
15,C5,C.ar
16,C6,C.ar
17,C19,C.3
18,C27,C.3
19,C31,C.3
20,C20,C.3
21,C21,C.3
22,C22,C.3
23,C1,C.ar
24,C39,C.3
25,C35,C.3
26,H1,H
27,H2,H
28,H3,H
29,H4,H
30,H5,H
31,H6,H
32,H7,H
33,H8,H
34,H9,H
35,H10,H
36,H11,H
37,H12,H
38,H13,H
39,H14,H
40,H15,H
41,H16,H
42,H17,H
43,H18,H
44,H19,H
45,H20,H
46,H21,H
47,H22,H
48,H23,H
49,H24,H
50,H25,H
51,H26,H
52,H27,H
