,one,two
0,C5H,C.ar
1,C5F,C.ar
2,C5E,C.ar
3,C5G,C.ar
4,C5I,C.ar
5,C5U,C.ar
6,C5M,C.3
7,C5Y,C.3
8,C5A,C.3
9,N6,N.pl3
10,C6,C.ar
11,N1,N.ar
12,C2,C.ar
13,N3,N.ar
14,C4,C.ar
15,C5,C.ar
16,N7,N.2
17,C8,C.2
18,N9,N.pl3
19,C1S,C.3
20,O4S,O.3
21,C4S,C.3
22,C5S,C.3
23,O5S,O.3
24,P5,P.3
25,O5D,O.2
26,O5B,O.3
27,O3S,O.3
28,C3S,C.3
29,C2S,C.3
30,O2S,O.3
31,H5H,H
32,H5F,H
33,H5E,H
34,H5G,H
35,H5I,H
36,H5M1,H
37,H5M2,H
38,H5Y,H
39,H5A1,H
40,H5A2,H
41,H5A3,H
42,H12,H
43,H13,H
44,H14,H
45,H1S,H
46,H4S,H
47,H5S1,H
48,H5S2,H
49,H3S,H
50,H2S,H
51,H21,H
52,H5B,H
